Country,Commodity,Measure,Unit of measure,Year,Value
Australia,Wheat,Area harvested,Hectares,2020,12985
Australia,Cottonseed,Area harvested,Hectares,2020,239
Australia,Roots and tubers,Production,Tonnes,2020,245.9523
Australia,Wheat,Production,Tonnes,2020,31164.5
Australia,Cottonseed,Exports,Tonnes,2021,412.8592
Australia,Roots and tubers,Exports,Tonnes,2021,19.3716
Australia,Roots and tubers,Area harvested,Hectares,2021,30
Australia,Cottonseed,Production,Tonnes,2021,634.4929
Australia,Wheat,Exports,Tonnes,2021,15675.404
Australia,Wheat,Area harvested,Hectares,2021,11628.7502
Australia,Cottonseed,Area harvested,Hectares,2021,301
Australia,Roots and tubers,Production,Tonnes,2021,267.7383
Australia,Wheat,Production,Tonnes,2021,23501.3959
Australia,Cottonseed,Exports,Tonnes,2022,679.9365
Australia,Roots and tubers,Exports,Tonnes,2022,19.5812
Australia,Roots and tubers,Area harvested,Hectares,2022,29.5488
Australia,Cottonseed,Production,Tonnes,2022,649.5017
Australia,Wheat,Exports,Tonnes,2022,15998.7425
Australia,Wheat,Area harvested,Hectares,2022,11592.3787
Australia,Cottonseed,Area harvested,Hectares,2022,300.7307
Australia,Roots and tubers,Production,Tonnes,2022,265.2453
Australia,Wheat,Production,Tonnes,2022,23756.0326
Australia,Cottonseed,Exports,Tonnes,2023,695.7672
Australia,Roots and tubers,Exports,Tonnes,2023,19.6965
Australia,Roots and tubers,Area harvested,Hectares,2023,29.0119
Australia,Cottonseed,Production,Tonnes,2023,663.8633
Australia,Wheat,Exports,Tonnes,2023,15779.2906
Australia,Wheat,Area harvested,Hectares,2023,11665.1943
Australia,Cottonseed,Area harvested,Hectares,2023,300.1467
Australia,Roots and tubers,Production,Tonnes,2023,262.0208
Australia,Wheat,Production,Tonnes,2023,24271.1979
Australia,Cottonseed,Exports,Tonnes,2024,710.7759
Australia,Roots and tubers,Exports,Tonnes,2024,19.8635
Australia,Roots and tubers,Area harvested,Hectares,2024,29.0179
Australia,Cottonseed,Production,Tonnes,2024,678.8908
Australia,Wheat,Exports,Tonnes,2024,16104.2843
Australia,Wheat,Area harvested,Hectares,2024,11737.6076
Australia,Cottonseed,Area harvested,Hectares,2024,299.797
Australia,Roots and tubers,Production,Tonnes,2024,263.4809
Australia,Wheat,Production,Tonnes,2024,24746.2462
Australia,Roots and tubers,Area harvested,Hectares,2025,29.0459
Australia,Cottonseed,Exports,Tonnes,2025,693.2877
Australia,Roots and tubers,Exports,Tonnes,2025,20.0663
Australia,Cottonseed,Production,Tonnes,2025,694.6393
Australia,Wheat,Exports,Tonnes,2025,16485.5991
Australia,Wheat,Area harvested,Hectares,2025,11753.9444
Australia,Cottonseed,Area harvested,Hectares,2025,299.7689
Australia,Roots and tubers,Production,Tonnes,2025,265.36
Australia,Wheat,Production,Tonnes,2025,25089.6664
Australia,Cottonseed,Exports,Tonnes,2026,709.2459
Australia,Roots and tubers,Exports,Tonnes,2026,20.2825
Australia,Roots and tubers,Area harvested,Hectares,2026,29.0979
Australia,Cottonseed,Production,Tonnes,2026,710.8885
Australia,Wheat,Exports,Tonnes,2026,16882.0125
Australia,Wheat,Area harvested,Hectares,2026,11775.2954
Australia,Cottonseed,Area harvested,Hectares,2026,299.9234
Australia,Roots and tubers,Production,Tonnes,2026,267.441
Australia,Wheat,Production,Tonnes,2026,25471.4348
Australia,Cottonseed,Exports,Tonnes,2027,725.7177
Australia,Roots and tubers,Exports,Tonnes,2027,20.5187
Australia,Roots and tubers,Area harvested,Hectares,2027,29.1621
Australia,Cottonseed,Production,Tonnes,2027,727.0651
Australia,Wheat,Exports,Tonnes,2027,17213.2058
Australia,Wheat,Area harvested,Hectares,2027,11813.8113
Australia,Cottonseed,Area harvested,Hectares,2027,300.0308
Australia,Roots and tubers,Production,Tonnes,2027,269.6451
Australia,Wheat,Production,Tonnes,2027,25903.0224
Australia,Cottonseed,Exports,Tonnes,2028,742.5034
Australia,Roots and tubers,Exports,Tonnes,2028,20.7504
Australia,Roots and tubers,Area harvested,Hectares,2028,29.2345
Australia,Cottonseed,Production,Tonnes,2028,743.5789
Australia,Wheat,Exports,Tonnes,2028,17565.6106
Australia,Wheat,Area harvested,Hectares,2028,11861.3301
Australia,Cottonseed,Area harvested,Hectares,2028,300.2201
Australia,Roots and tubers,Production,Tonnes,2028,271.9466
Australia,Wheat,Production,Tonnes,2028,26350.8041
Australia,Cottonseed,Exports,Tonnes,2029,759.5736
Australia,Roots and tubers,Exports,Tonnes,2029,20.9937
Australia,Cottonseed,Production,Tonnes,2029,760.753
Australia,Wheat,Exports,Tonnes,2029,17897.8904
Australia,Wheat,Area harvested,Hectares,2029,11904.3775
Australia,Cottonseed,Area harvested,Hectares,2029,300.6034
Australia,Roots and tubers,Production,Tonnes,2029,274.2555
Australia,Wheat,Production,Tonnes,2029,26791.5252
Australia,Roots and tubers,Area harvested,Hectares,2029,29.3024
Australia,Cottonseed,Exports,Tonnes,2030,777.1077
Australia,Roots and tubers,Exports,Tonnes,2030,21.2413
Australia,Roots and tubers,Area harvested,Hectares,2030,29.3873
Australia,Cottonseed,Production,Tonnes,2030,778.7296
Australia,Wheat,Exports,Tonnes,2030,18225.6766
Australia,Wheat,Area harvested,Hectares,2030,11930.0557
Australia,Cottonseed,Area harvested,Hectares,2030,301.2519
Australia,Roots and tubers,Production,Tonnes,2030,276.7638
Australia,Wheat,Production,Tonnes,2030,27184.8936
Brazil,Cottonseed,Area harvested,Hectares,2015,955.2
Brazil,Roots and tubers,Exports,Tonnes,2015,12.6594
Brazil,Cottonseed,Exports,Tonnes,2015,939.188
Brazil,Wheat,Production,Tonnes,2015,5534.9
Brazil,Wheat,Area harvested,Hectares,2015,2118.4
Brazil,Cottonseed,Production,Tonnes,2015,1289.2
Brazil,Roots and tubers,Production,Tonnes,2015,6839.5509
Brazil,Wheat,Exports,Tonnes,2015,1778.7105
Brazil,Roots and tubers,Area harvested,Hectares,2015,1714.348
Brazil,Cottonseed,Area harvested,Hectares,2016,939.1
Brazil,Roots and tubers,Exports,Tonnes,2016,12.3143
Brazil,Cottonseed,Exports,Tonnes,2016,607.171
Brazil,Wheat,Production,Tonnes,2016,6726.8
Brazil,Wheat,Area harvested,Hectares,2016,1916
Brazil,Cottonseed,Production,Tonnes,2016,1529.5
Brazil,Roots and tubers,Production,Tonnes,2016,6636.4322
Brazil,Wheat,Exports,Tonnes,2016,712.8422
Brazil,Roots and tubers,Area harvested,Hectares,2016,1599.832
Brazil,Cottonseed,Area harvested,Hectares,2017,1174.7
Brazil,Roots and tubers,Exports,Tonnes,2017,11.9786
Brazil,Cottonseed,Exports,Tonnes,2017,908.879
Brazil,Wheat,Production,Tonnes,2017,4263.5
Brazil,Wheat,Area harvested,Hectares,2017,2042.4
Brazil,Cottonseed,Production,Tonnes,2017,2005.8
Brazil,Roots and tubers,Production,Tonnes,2017,6438.8899
Brazil,Wheat,Exports,Tonnes,2017,617.6163
Brazil,Roots and tubers,Area harvested,Hectares,2017,1464.356
Brazil,Cottonseed,Area harvested,Hectares,2018,1618.2
Brazil,Roots and tubers,Exports,Tonnes,2018,11.652
Brazil,Cottonseed,Exports,Tonnes,2018,1310
Brazil,Wheat,Production,Tonnes,2018,5427.6
Brazil,Wheat,Area harvested,Hectares,2018,2040.5
Brazil,Cottonseed,Production,Tonnes,2018,2778.8
Brazil,Roots and tubers,Production,Tonnes,2018,6246.7575
Brazil,Wheat,Exports,Tonnes,2018,220.6226
Brazil,Roots and tubers,Area harvested,Hectares,2018,1402.3621
Brazil,Cottonseed,Area harvested,Hectares,2019,1665.7
Brazil,Roots and tubers,Exports,Tonnes,2019,11.3344
Brazil,Cottonseed,Exports,Tonnes,2019,1945.77
Brazil,Wheat,Production,Tonnes,2019,5154.7
Brazil,Wheat,Area harvested,Hectares,2019,2338.8
Brazil,Cottonseed,Production,Tonnes,2019,3001.6
Brazil,Roots and tubers,Production,Tonnes,2019,6059.873
Brazil,Wheat,Exports,Tonnes,2019,563.2442
Brazil,Roots and tubers,Area harvested,Hectares,2019,1360.2911
Brazil,Cottonseed,Area harvested,Hectares,2020,1614.8
Brazil,Roots and tubers,Exports,Tonnes,2020,11.0254
Brazil,Cottonseed,Exports,Tonnes,2020,1662.0987
Brazil,Wheat,Production,Tonnes,2020,6354.8
Brazil,Wheat,Area harvested,Hectares,2020,2338.8
Brazil,Cottonseed,Production,Tonnes,2020,2720.0787
Brazil,Roots and tubers,Production,Tonnes,2020,5878.0794
Brazil,Wheat,Exports,Tonnes,2020,563.2442
Brazil,Roots and tubers,Area harvested,Hectares,2020,1319.4824
Brazil,Cottonseed,Area harvested,Hectares,2021,1355.4896
Brazil,Roots and tubers,Exports,Tonnes,2021,12.642
Brazil,Cottonseed,Exports,Tonnes,2021,1650.7575
Brazil,Wheat,Production,Tonnes,2021,5791.9826
Brazil,Wheat,Area harvested,Hectares,2021,2292.024
Brazil,Cottonseed,Production,Tonnes,2021,2283.2787
Brazil,Roots and tubers,Production,Tonnes,2021,5848.3951
Brazil,Wheat,Exports,Tonnes,2021,563.2442
Brazil,Roots and tubers,Area harvested,Hectares,2021,1306.2876
Brazil,Cottonseed,Area harvested,Hectares,2022,1326.9708
Brazil,Roots and tubers,Exports,Tonnes,2022,10.386
Brazil,Cottonseed,Exports,Tonnes,2022,1706.2166
Brazil,Wheat,Production,Tonnes,2022,5907.4903
Brazil,Wheat,Area harvested,Hectares,2022,2310.7084
Brazil,Cottonseed,Production,Tonnes,2022,2263.2874
Brazil,Roots and tubers,Production,Tonnes,2022,5810.5777
Brazil,Wheat,Exports,Tonnes,2022,563.2442
Brazil,Roots and tubers,Area harvested,Hectares,2022,1290.8702
Brazil,Cottonseed,Area harvested,Hectares,2023,1355.7844
Brazil,Roots and tubers,Exports,Tonnes,2023,10.1549
Brazil,Cottonseed,Exports,Tonnes,2023,1760.5018
Brazil,Wheat,Production,Tonnes,2023,6045.9552
Brazil,Wheat,Area harvested,Hectares,2023,2334.8316
Brazil,Cottonseed,Production,Tonnes,2023,2341.3103
Brazil,Roots and tubers,Production,Tonnes,2023,5738.9082
Brazil,Wheat,Exports,Tonnes,2023,563.2442
Brazil,Roots and tubers,Area harvested,Hectares,2023,1268.4407
Brazil,Cottonseed,Area harvested,Hectares,2024,1416.7245
Brazil,Roots and tubers,Exports,Tonnes,2024,10.5471
Brazil,Cottonseed,Exports,Tonnes,2024,1812.8107
Brazil,Wheat,Production,Tonnes,2024,6167.5686
Brazil,Wheat,Area harvested,Hectares,2024,2355.5633
Brazil,Cottonseed,Production,Tonnes,2024,2477.5006
Brazil,Roots and tubers,Production,Tonnes,2024,5717.7741
Brazil,Wheat,Exports,Tonnes,2024,563.2442
Brazil,Roots and tubers,Area harvested,Hectares,2024,1257.8864
Brazil,Cottonseed,Area harvested,Hectares,2025,1451.1013
Brazil,Roots and tubers,Exports,Tonnes,2025,11.3021
Brazil,Cottonseed,Exports,Tonnes,2025,1867.6057
Brazil,Wheat,Production,Tonnes,2025,6275.5268
Brazil,Wheat,Area harvested,Hectares,2025,2372.0105
Brazil,Cottonseed,Production,Tonnes,2025,2569.406
Brazil,Roots and tubers,Production,Tonnes,2025,5709.2472
Brazil,Wheat,Exports,Tonnes,2025,563.2442
Brazil,Roots and tubers,Area harvested,Hectares,2025,1250.0513
Brazil,Cottonseed,Area harvested,Hectares,2026,1486.6549
Brazil,Roots and tubers,Exports,Tonnes,2026,11.5807
Brazil,Cottonseed,Exports,Tonnes,2026,1923.111
Brazil,Wheat,Production,Tonnes,2026,6388.5052
Brazil,Wheat,Area harvested,Hectares,2026,2387.8274
Brazil,Cottonseed,Production,Tonnes,2026,2665.1915
Brazil,Roots and tubers,Production,Tonnes,2026,5718.005
Brazil,Wheat,Exports,Tonnes,2026,563.2442
Brazil,Roots and tubers,Area harvested,Hectares,2026,1245.7128
Brazil,Cottonseed,Area harvested,Hectares,2027,1500.2661
Brazil,Roots and tubers,Exports,Tonnes,2027,11.0966
Brazil,Cottonseed,Exports,Tonnes,2027,1979.8468
Brazil,Wheat,Production,Tonnes,2027,6513.3446
Brazil,Wheat,Area harvested,Hectares,2027,2406.7637
Brazil,Cottonseed,Production,Tonnes,2027,2722.8501
Brazil,Roots and tubers,Production,Tonnes,2027,5671.0648
Brazil,Wheat,Exports,Tonnes,2027,563.2442
Brazil,Roots and tubers,Area harvested,Hectares,2027,1229.641
Brazil,Cottonseed,Area harvested,Hectares,2028,1513.5558
Brazil,Roots and tubers,Exports,Tonnes,2028,10.7428
Brazil,Cottonseed,Exports,Tonnes,2028,2037.1935
Brazil,Wheat,Production,Tonnes,2028,6644.0914
Brazil,Wheat,Area harvested,Hectares,2028,2427.8635
Brazil,Cottonseed,Production,Tonnes,2028,2781.0087
Brazil,Roots and tubers,Production,Tonnes,2028,5640.7454
Brazil,Wheat,Exports,Tonnes,2028,563.2442
Brazil,Roots and tubers,Area harvested,Hectares,2028,1216.5569
Brazil,Cottonseed,Area harvested,Hectares,2029,1526.243
Brazil,Roots and tubers,Exports,Tonnes,2029,10.2694
Brazil,Cottonseed,Exports,Tonnes,2029,2092.0062
Brazil,Wheat,Production,Tonnes,2029,6777.0309
Brazil,Wheat,Area harvested,Hectares,2029,2449.3192
Brazil,Cottonseed,Production,Tonnes,2029,2839.2514
Brazil,Roots and tubers,Production,Tonnes,2029,5583.8864
Brazil,Wheat,Exports,Tonnes,2029,563.2442
Brazil,Roots and tubers,Area harvested,Hectares,2029,1198.315
Brazil,Cottonseed,Area harvested,Hectares,2030,1541.1962
Brazil,Roots and tubers,Exports,Tonnes,2030,10.5254
Brazil,Cottonseed,Exports,Tonnes,2030,2148.9836
Brazil,Wheat,Production,Tonnes,2030,6902.9235
Brazil,Wheat,Area harvested,Hectares,2030,2468.6256
Brazil,Cottonseed,Production,Tonnes,2030,2902.6885
Brazil,Roots and tubers,Production,Tonnes,2030,5576.51
Brazil,Wheat,Exports,Tonnes,2030,563.2442
Brazil,Roots and tubers,Area harvested,Hectares,2030,1190.3897
Canada,Cottonseed,Production,Tonnes,2015,0
Canada,Roots and tubers,Area harvested,Hectares,2015,137.556
Canada,Cottonseed,Exports,Tonnes,2015,0
Canada,Wheat,Production,Tonnes,2015,27647.4
Canada,Roots and tubers,Production,Tonnes,2015,944.7677
Canada,Cottonseed,Area harvested,Hectares,2015,0
Canada,Wheat,Area harvested,Hectares,2015,9558.3
Canada,Wheat,Exports,Tonnes,2015,21704.9
Canada,Roots and tubers,Exports,Tonnes,2015,419.3069
Canada,Cottonseed,Production,Tonnes,2016,0
Canada,Roots and tubers,Area harvested,Hectares,2016,138.126
Canada,Cottonseed,Exports,Tonnes,2016,0
Canada,Wheat,Production,Tonnes,2016,32139.9
Canada,Roots and tubers,Production,Tonnes,2016,948.2457
Canada,Cottonseed,Area harvested,Hectares,2016,0
Canada,Wheat,Area harvested,Hectares,2016,8976.3
Canada,Wheat,Exports,Tonnes,2016,20155.5
Canada,Roots and tubers,Exports,Tonnes,2016,411.4531
Canada,Cottonseed,Production,Tonnes,2017,0
Canada,Roots and tubers,Area harvested,Hectares,2017,138.194
Canada,Cottonseed,Exports,Tonnes,2017,0
Canada,Wheat,Production,Tonnes,2017,30377.3
Canada,Roots and tubers,Production,Tonnes,2017,952.098
Canada,Cottonseed,Area harvested,Hectares,2017,0
Canada,Wheat,Area harvested,Hectares,2017,8983.3
Canada,Wheat,Exports,Tonnes,2017,21912.4
Canada,Roots and tubers,Exports,Tonnes,2017,403.7465
Canada,Cottonseed,Production,Tonnes,2018,0
Canada,Roots and tubers,Area harvested,Hectares,2018,134.102
Canada,Cottonseed,Exports,Tonnes,2018,0
Canada,Wheat,Production,Tonnes,2018,32351.9
Canada,Roots and tubers,Production,Tonnes,2018,956.3224
Canada,Cottonseed,Area harvested,Hectares,2018,0
Canada,Wheat,Area harvested,Hectares,2018,9881.1
Canada,Wheat,Exports,Tonnes,2018,24403.4673
Canada,Roots and tubers,Exports,Tonnes,2018,396.1842
Canada,Cottonseed,Production,Tonnes,2019,0
Canada,Roots and tubers,Area harvested,Hectares,2019,133.0383
Canada,Cottonseed,Exports,Tonnes,2019,0
Canada,Wheat,Production,Tonnes,2019,32669.8
Canada,Roots and tubers,Production,Tonnes,2019,960.9169
Canada,Cottonseed,Area harvested,Hectares,2019,0
Canada,Wheat,Area harvested,Hectares,2019,9655.67
Canada,Wheat,Exports,Tonnes,2019,24628.2939
Canada,Roots and tubers,Exports,Tonnes,2019,388.7635
Canada,Cottonseed,Production,Tonnes,2020,0
